,Unnamed: 0,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,QQQ_feature2,T10Y3M_feature0,T10Y3M_feature1,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1,label,Date
0,0,0.6704519573791083,0.9312730277954814,0.8606953402412256,0.5877828025137027,0.9508279017754528,1.3318109902223103,2.4252035018087885,0.7479434013223802,1.7973125072729994,0.765706587337732,0.6488935851606501,1.20341801019686,1.104078570507799,0.823232727888742,0.7334651524307875,0.3787840713421851,1.3425069909673473,1.5785612840431609,0.8302443859963051,1.9800540738383865,0.9287363997171536,0.4100639242955255,1.063780413891957,0.0,2006-10-24
1,1,0.7013402778285602,0.9415574142792972,0.9217082407045516,0.6013697572782917,0.9036113109527928,1.3515613115255072,2.485064557184058,1.0571685964530282,1.207398747946279,0.7645625304121594,0.6328263717089881,1.0978759143581702,1.0199868297118222,0.956804729441395,0.6361623473054493,0.4878187624026855,1.370277904514669,1.517022388857937,0.824280280950721,2.077302925873749,0.7857413509152459,0.396191882768393,1.250951689409934,0.0,2006-10-25
2,2,0.8023822949111855,1.2169108290587496,1.077872427565657,0.6074224404245437,1.020866731539617,1.3933320923505197,2.649690894458202,1.0092270796710965,1.0592473595644345,0.704270258894876,0.6502760993843009,1.0758580431485134,1.1019782430291345,1.100910013484138,0.6822199214253575,0.6449438940348828,1.2769103318978177,1.474363223376164,0.9439385962658062,2.105165685177823,0.7694468396986003,0.349477861566578,1.4422783383449511,0.0,2006-10-26
3,3,0.7836781340866354,1.2317858195861406,0.9802096972513074,0.7055686318467816,1.1265857891749,1.2212797551561176,2.5737608034988804,1.1224348989807538,0.771182457084971,0.7207094620361495,0.6367137975051221,1.0477770389433143,1.1373278112897869,1.0695476554885368,0.581909336303414,0.5225733484801831,1.1598405323038772,1.3742284014215569,0.9764575891172133,2.0799481472349624,0.7729562804910819,0.4854153429834077,1.389226411495008,0.0,2006-10-27
4,4,0.8253286778911992,1.1563119493640055,0.8295103573344916,0.8661459288086037,1.07742182846352,1.2187613852259855,2.721586699059653,1.1586927457963638,0.7879755984803349,0.8730235678307832,0.7523586397161919,1.0097998370159078,1.204596305290573,1.3677630415973647,0.6323760090068707,0.6976187893524816,1.1208274974442247,1.3419890929392997,0.9728152735627988,2.0354803130173904,0.7779355688626903,0.5655781958271349,1.361520220649831,0.0,2006-10-30
5,5,1.0516880111276536,0.9952287412098344,0.6567608619636602,1.0832965461746498,1.0332803304885625,1.1172678578806885,2.603388197299558,0.9793937459139616,0.8127047515210418,0.8896172312191494,0.8495902576914186,0.98139282208032,1.239520498319721,1.4002119772561183,0.73519818719204,0.6213156386660851,0.9794523224498702,1.3360871537250731,1.0239413690887382,2.0246919902007368,0.7881876569125352,0.5671230504118699,1.4265521654792228,0.0,2006-10-31
6,6,0.9641324618750498,1.0075685768830915,0.5487992301922787,1.0212097173017067,1.073553355150899,1.0421923746980093,2.504544315706412,0.9088747482769995,0.8665705484549736,0.7358344344015328,1.0730023816999377,0.96414999388989,1.3121559886691352,1.595015410309958,0.6929344147944188,0.6273437243488922,0.9507249337912222,1.2368549600527223,1.0262977160366318,2.000540249830282,0.799526583272563,0.7731201979602308,1.28701293584593,0.0,2006-11-01
7,7,0.7932123726708862,0.9792616919004922,0.6058614629026695,0.9371249605076812,1.157777548199027,1.0232284405122325,2.535631586696109,0.8972813552120489,0.9093026181797608,0.5042926055807085,1.204501568779444,0.9823186606441272,1.3524197681837713,1.5191008828709984,0.6778492259446596,0.8439534367303956,1.1573645971905435,1.1626504029517637,1.094966461033341,2.0024077453978286,0.8030740854290891,1.0206563748198705,1.4101778436677352,0.0,2006-11-02
8,8,0.8645267297954222,0.965559052371214,0.5728977950932664,1.0112362382390496,1.1804071820633508,1.1593566753602391,2.28337454342575,0.9489255608507532,0.8852901863326474,0.4436826941758089,1.2209624827719632,1.0007976443216822,1.3970459262811858,1.4149874889480822,0.5694880574987884,1.0612224421246388,1.025213974290756,1.1339997417695276,1.0681354588889973,1.9835996802571465,0.8079345970220778,1.0052129104556986,1.3271006478785845,0.0,2006-11-03
9,9,0.9235650842358484,0.8271500566656231,0.814821996929572,0.9132160594251086,0.8317359169625537,0.7526950374421983,0.8902631250733049,1.2907132370364605,0.8419156812070204,0.5375070439660543,1.231969178127266,0.960147998823924,1.421582928066958,1.367091974449374,0.6360095487521342,1.053946763986353,0.643032679002899,1.201924292617994,1.0696034954703415,2.1070192591711736,0.7273569760686985,0.9874488997992046,1.1482746798850785,0.0,2006-11-06
