Date,Unnamed: 0,label_1.0_PREDICTION,label_0.0_PREDICTION,label_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Unnamed: 0.1,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,T10Y3M_feature0,T10Y3M_feature1,T10Y3M_feature2,T10Y3M_feature3,T10Y3M_feature4,T10Y3M_feature5,T10Y3M_feature6,T10Y3M_feature7,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1
2020-08-13,161,0.0013627889,0.9986372111,0.0,0.5,1.0,APPROVED,161,0.7761638187679227,0.8898869879335449,0.7595224868035009,0.9117790535988806,0.6837271381752067,1.4383207183924698,0.9331412453697842,1.394799985974844,0.8420045404054136,2.180335722589801,1.1937092436359036,1.3616737115498745,0.966210411352021,0.7675515724244646,1.0937314690564666,0.7042852615950276,0.8784770102387185,1.0104290673899663,1.181491210144914,0.8013665789127178,0.7093706057003107,1.1162349015875792,2.607732365653234,0.9267393367963208,0.7167789312516922,2.5147435239165663,0.6686743915544244,1.6540294482656186
2020-08-14,162,0.0001401561,0.9998598439,0.0,0.5,1.0,APPROVED,162,0.8598813936276802,0.8207929482201504,0.803080110133383,0.8957920501224304,0.5565327351430104,1.8330129262866992,1.344558292481713,1.6892554574115763,0.7160534068995271,2.720692524144848,1.3692108685263729,1.8307221243500336,0.8786999570828526,0.7842609321272697,0.9741297917120676,0.6857440059204607,0.8755335000286895,1.0048965255290423,1.0857657855457157,0.8596965991748035,0.7199370940498205,1.178062246364033,2.604621854482852,0.9485967279894928,0.6991020069984432,2.485958392429124,0.6808758657980204,1.564449649500611
2020-08-17,163,0.0002410366,0.9997589634,0.0,0.5,1.0,APPROVED,163,0.8239841241792794,0.8664758328129928,0.8216733238693253,0.8250859497069415,0.4994661512900243,1.7922408164064696,1.290899328405869,1.7129373994174124,0.707111331599266,2.6358962222916578,1.3994309093385129,1.861739346298872,1.1180905367065423,0.9421575986920832,1.0096091690622089,0.7603132081548699,0.9048410238433452,1.0443980291876045,0.9157210705835572,0.8298425685879078,0.6838620507265503,1.1873563588805205,2.7348836329380166,1.0063903047767622,0.7732866819320149,2.550083202915849,0.7066529944177043,1.6165251617684255
2020-08-18,164,0.0001175891,0.9998824109,0.0,0.5,1.0,APPROVED,164,0.8222384209187488,0.9014231016398192,0.8471414262968721,0.8296245556593426,0.4750460263143802,1.7377183370750944,1.2396852178387705,1.6892050132782408,0.7113538461185711,2.57710726840668,1.2000901709132008,1.87373518943174,1.225408124145361,0.7747481666333711,0.7875248636279553,0.9007157714008153,0.9087816531782356,1.03477208321534,0.8167318086615923,0.8240442422971941,0.6956330425675915,1.0248965612414536,2.727656477560896,1.0322404583583813,0.775396312801426,2.5332305991369264,0.6843670140406227,1.564891300439203
2020-08-19,165,7.7282e-05,0.999922718,0.0,0.5,1.0,APPROVED,165,0.9591349155580394,1.0092386350502378,1.0307280190221,0.7189498985753356,0.4751093993239407,1.6669822388479532,1.1646600219401817,1.6036022091321798,0.7315661765437323,2.50942376862476,1.0258662590339422,1.8581116763118752,1.4085968185209845,0.5537578401309599,0.7458809017538567,0.9768765047554052,0.8969058090857241,0.994466334660952,0.8466702932711382,0.830570418925238,0.9545835218187156,1.00913783650472,2.8982080600913824,0.9213857693368228,0.7757969857851309,2.5122601842706764,0.600546531585012,1.512801758331806
2020-08-20,166,1.63129e-05,0.9999836871,0.0,0.5,1.0,APPROVED,166,0.9574608640940128,1.0095815510171906,1.017983102422663,0.8957134744512456,0.5220438915500553,1.6398844136247022,1.10239687133118,1.555874127952768,0.8225156427220676,2.401925269914342,0.6660225482520579,1.6771324049927967,1.364217382367976,0.5443591090497912,0.556014953900231,1.077399355816416,0.95748061963356,0.9844089908260988,0.8095935621154521,0.8287076617765153,0.9023837119538578,0.97871596125283,2.934924142908804,0.9525693570556412,0.7429802563765284,2.576818433457924,0.5853804691011466,1.4337641643988084
2020-08-21,167,1.05884e-05,0.9999894116,0.0,0.5,1.0,APPROVED,167,0.8413961575465192,0.7600141347218213,0.8266089003477517,0.9381908021114858,0.6162884167802832,1.6232929014436963,1.031936179174226,1.5247165499910202,0.8573952872489405,2.362918775059887,0.669971608066015,1.6281913181724892,1.2957541311192604,0.5845045122556083,0.6375501583050791,0.7307425260183352,0.9510130406264112,1.040039881888138,0.6854373666256773,0.8383459791187029,1.002195753673429,0.8451847692249539,2.9114917431595644,0.8693196570883103,0.7178427076517693,2.7658544777011715,0.5983203246337758,1.4027467737453594
2020-08-24,168,9.765e-07,0.9999990235,0.0,0.5,1.0,APPROVED,168,0.9539538100382065,1.1904791524263851,0.9620948773722092,0.924791045468888,0.6559476048856089,2.229036365044028,1.5367771055765238,1.8946500220062057,0.8679144278302967,2.366895346463349,0.6001085438221474,1.6151710562830843,1.3445293913570049,0.4558833120775594,0.6303399669475735,0.7309109135545999,0.9484955547766212,1.0499893359060866,0.7374008009085755,0.8223906703482425,0.934091156909931,0.5981248571054104,2.87654483782173,0.8409000387410608,0.6843658233011513,2.791908284753916,0.6027593512828419,1.3592095543593838
2020-08-25,169,4.144e-06,0.999995856,0.0,0.5,1.0,APPROVED,169,0.7220461180463366,0.9790414002456184,0.8512476695227591,1.2877677016622204,0.5111485260781622,2.236146977325249,1.635013212258713,1.724664776941514,0.7037379611712143,2.334143481527322,0.726367859424251,1.6829645497989518,1.407438518022339,0.5773397598301817,0.5999366966961989,0.7506810759430196,0.9765204268561588,1.0427775159019144,0.7622157613192194,0.8357221983534033,1.0650984741065754,0.6026912049437432,2.85525902715867,0.8337457119321977,0.620608976519347,2.703907780612446,0.6426248809096531,1.436973588531269
2020-08-26,170,1.80752e-05,0.9999819248,0.0,0.5,1.0,APPROVED,170,0.8586676645059069,1.2245836000468495,0.742943363914387,0.9735470921021944,0.4963914174677206,2.1544728485632296,1.5877805874104278,1.7522671731573178,0.7082289929850315,2.225982263606101,0.8180933224413602,1.7092741363104835,1.467983703981201,0.643184442097536,0.5905484384733373,0.8059516891729334,0.9705815366072078,0.9739040270095136,0.8006620542723512,0.8464704741609277,1.0449695387675844,0.6402110543896149,2.846848639506564,0.7870926755400272,0.6206791398280556,2.727746983320672,0.6782820417892945,1.3366371587806125
