Date,Unnamed: 0,label_1.0_PREDICTION,label_0.0_PREDICTION,label_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Unnamed: 0.1,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,QQQ_feature2,T10Y3M_feature0,T10Y3M_feature1,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1
2021-02-09,27,0.9999999966,3.4e-09,1.0,0.5,1.0,APPROVED,27,0.9582551907824908,0.7117093969788024,0.8263708965592301,0.6605698940613174,0.769373917388342,1.553734665021861,0.2196184104412067,1.3604330537323333,0.5597027476734882,0.8031459303682963,0.8481291000405574,0.847726941398025,0.8425226893596254,1.489737252852212,0.852122080853229,0.7979217381190176,1.3109137486918132,0.8801854732980692,1.685278546969546,3.1713518416565565,0.6285957143064214,1.5646461271572607,0.8906635201291552
2021-02-10,28,0.9999999921,7.9e-09,1.0,0.5,1.0,APPROVED,28,0.8721215821180621,0.7372049692315287,0.8762838089961763,0.5840646281470168,0.8008789928703773,1.5481634131885118,0.2214962138752183,1.403410530801119,0.579490550869855,0.9233986957431372,0.6973193105531581,0.8433979283819384,0.8499629539618228,1.4516106044782575,0.8539344747002225,0.7957224666495308,1.2205700833920572,0.8762035990651003,1.581554235437868,3.1190306053223606,0.6379865095095879,1.5116454587445602,0.8819618601393755
2021-02-11,29,0.9999999893,1.07e-08,1.0,0.5,1.0,APPROVED,29,0.8275517997828311,0.7365812961802117,0.9345040212148384,0.6074958843818228,0.7463908751451971,1.5348308703236573,0.2106231642874196,1.682551383175248,0.5468094939097607,1.115229309599198,0.5595084362572126,0.8704931086885259,0.8217304693288027,1.4420694924307065,0.9378892713516758,0.7444374703013236,1.1451431415136828,0.8632549616453177,1.500323606797825,3.034136100579635,0.6408899675959547,1.494983946802513,0.9193800628228712
2021-02-12,30,0.9999999744,2.56e-08,1.0,0.5,1.0,APPROVED,30,0.8873572480108624,0.7004510015530866,0.8860379726349892,0.6483706919485225,0.6212179768131988,1.4984962983143493,1.1485082769557484,1.6562613235882575,0.6374662959522471,1.170112739422902,0.5588189396210206,0.9118756152203852,0.9426469035984396,1.614822905179387,1.1785488790181138,0.7312453235159502,1.2110387710726256,0.8645711348956175,1.3805733242928613,3.0080223892895197,0.6457736365922395,1.3482517651689512,0.8804705806098344
2021-02-15,31,0.999999945,5.5e-08,1.0,0.5,1.0,APPROVED,31,0.997952802614786,0.6811277812562817,0.7438928215892102,0.9959427576587644,0.5548344489783334,1.5112212770364053,1.165448175892014,1.6708061246034391,0.5965985554859912,1.186212504410727,0.519163291841473,0.9552994551363282,0.9285105190392758,1.5480384975818906,1.2044753751305912,0.7437858227979176,1.2070181611909243,0.9318331632179244,1.2758074522163971,2.984658136498868,0.6523033013781938,1.347218371258284,0.9118292304557494
2021-02-16,32,0.9999999689,3.11e-08,1.0,0.5,1.0,APPROVED,32,1.039439676882275,0.7155973556070422,0.6971892883648841,1.067109461634426,0.6518242964767241,0.9720189788302548,0.493500191225061,1.710868952444987,0.6052378715645801,1.2947218145043846,0.6107864010880453,0.963222395885063,0.8523579850687346,1.4825433836785364,1.2032365860022236,0.7354046565679189,1.0016490280122536,0.957148584478994,1.1555866118789857,2.96523364586482,0.6690878410022729,1.2669409719164266,0.8673030150669764
2021-02-17,33,0.9999999046,9.54e-08,1.0,0.5,1.0,APPROVED,33,0.883641368207283,0.6754259874856946,0.7890381635338567,1.0988914387558215,0.7125565247661424,1.0487565648159394,0.3238201471819216,1.6887334053632082,0.642681741497219,1.3466119429362535,0.5095958557411993,1.032358227508677,0.8444014605346553,1.430193511233312,1.2296390883645043,0.6851370800996716,1.0906007611940098,1.065843914867216,1.0194948927332632,2.9494925515089143,0.6805677511970905,1.1378203121700088,0.8653360583200856
2021-02-18,34,0.9999998212,1.788e-07,1.0,0.5,1.0,APPROVED,34,0.8031347239517811,0.6714486014659558,0.7529559453432664,0.9244659553321084,0.7069546702003292,1.1121854347592026,0.3083233158169764,1.837074880458712,0.6107294416057605,1.3879633030821248,0.6428458331235263,1.0803081332722049,0.816804373442543,1.3703375523723624,1.315256771207317,0.7201411288547205,1.0572018441532371,1.014596402995419,0.8938785049010647,2.919784572057641,0.678386635788003,0.9618726812841976,0.8246325516503683
2021-02-19,35,0.9999994258,5.742e-07,1.0,0.5,1.0,APPROVED,35,0.8376941400216332,0.6471077762897843,0.8024845550817764,0.9674481002225974,0.8083676052734796,1.1681803362969094,0.3090232812881152,1.698005424888195,0.5356197350317862,1.310303622583715,0.7902071678123639,1.0612026121234983,0.7690408412845403,1.2476565613433042,1.35068807608529,0.759312690746652,1.010456214389161,1.1803747867257484,0.8399471568955226,2.905566290142075,0.6853632731315095,0.7974512761579304,0.8423438903878936
2021-02-22,36,0.9999997352,2.648e-07,1.0,0.5,1.0,APPROVED,36,0.6944104313621898,0.7535415282185022,0.7977963378103844,0.973692665165358,1.0093676504587277,1.2472314203963424,0.3017818857495505,1.8148034273998408,0.6276288803187027,1.423234665611652,0.7915252682832946,0.8614250970900873,0.8236275201535018,1.1222697284094176,1.224946795335532,0.7964430143521845,1.0621329131576691,1.2118394067661626,0.7388133906223561,3.1353689919046595,0.7534254331841765,0.633250652158487,0.791093566627153
2021-02-23,37,0.9999995292,4.708e-07,1.0,0.5,1.0,APPROVED,37,0.5847030338839676,0.966232669520213,0.9911476222283748,0.7778898779498359,1.2750919284148212,1.306491068902721,0.2870611759661109,1.8180883854999648,0.6415048271271869,1.552814264411666,0.8369079366592965,0.8761487472200438,0.7764889139451329,0.9447261711406532,1.2702656910563452,0.7617230115088868,1.3040560383299238,1.2494624038018625,0.746065140679643,3.0750153945493075,0.7433004959921494,0.5446608710650607,1.3886483739720563
2021-02-24,38,0.9999990805,9.195e-07,1.0,0.5,1.0,APPROVED,38,0.6684310281048107,0.6870689554715761,0.8298725336359046,0.6916412761497531,0.8225759649156499,1.4052658006535772,0.2759873258539586,1.6561410099716112,0.58169177463829,1.5018103841116115,0.6658237861214954,0.8940202258897797,0.7490039647681864,0.8113302726458321,1.4456454242289531,0.5680260700524361,1.1163688767013478,1.258444305138147,0.7779149437553469,3.012128092654205,0.7437295268248775,0.4564938114204969,1.4298794400569128
2021-02-25,39,0.9999961795,3.8205e-06,1.0,0.5,1.0,APPROVED,39,0.999022719533318,1.161012242733933,0.8600754858080096,0.731139179533778,1.029381504488854,1.377280371203737,0.3344841281678936,1.6607219625165923,0.5436662753436908,1.540362721852348,0.6141884051087503,0.9506123920202338,0.7217389040600998,0.7678383432122914,1.509906519900809,0.541185481088348,1.12950802201468,1.2177032702296773,0.8046913685022667,2.898204145786817,0.7594888457807507,0.7802221656073759,1.282757488834569
2021-02-26,40,0.9998736154,0.0001263846,1.0,0.5,1.0,APPROVED,40,0.9722063219830585,0.8795776073215466,0.6689264075002553,1.2317672867789535,0.9897735084325118,1.3814377987211943,0.302868402449957,1.5496986260306749,0.4401689817376404,1.1380742957765686,0.609567866425299,1.1295810797011334,0.8116411512849843,0.8411317369492013,1.4725765044879584,0.8310846040752304,0.9417263456894288,1.2933212640368736,0.6842490249451135,2.663410644454786,0.8060700544969258,1.0319970453142748,1.2864777187731653
2021-03-01,41,0.9998804289,0.0001195711,1.0,0.5,1.0,APPROVED,41,1.1277915808639063,0.7755950539138625,0.960900575918739,1.2534059779333022,0.8142309327398701,1.3926574866635222,0.2933117443334155,1.3371999869737234,0.4661215045669251,1.1141753022453986,0.6220257579239231,1.1646904801569136,0.8112758261589536,0.9152386302771992,0.9729706034447456,0.8918103530681489,0.7622984804869873,1.3434702282391051,0.6768635146497358,2.614967908144787,0.717024161796263,0.9442479322776214,0.8996335610738301
2021-03-02,42,0.9989939313,0.0010060687,1.0,0.5,1.0,APPROVED,42,0.9733748944698216,0.7730028779842378,0.6922682273440919,1.0800168650508652,0.8221203296329262,1.3996214699411105,0.2840136853362039,1.2990627553129412,0.716731984165682,1.1074088581493038,0.6388159255142835,1.172665166714462,0.8301504369655524,0.7944028129204981,1.0138085362144935,1.0415693663213588,0.9100122934516846,1.2715238448505657,0.6702491836172022,2.5677025266775706,0.7693074620848099,1.3588417209964998,0.6943994167253577
2021-03-03,43,0.9953306516,0.0046693484,1.0,0.5,1.0,APPROVED,43,1.1273750351479934,0.9479998680376186,0.6856119399711231,1.4009477069423089,1.0545305251438908,1.404336347909585,0.2925750492735607,1.3119332177065897,0.7783885589369787,1.0841716609242,0.6420671778275352,1.23408195490088,0.828177903407013,0.6773566730705409,1.0202493773067678,1.2760173707911595,0.7997654426936759,1.351227905854176,0.6400227664844852,2.5063457542539145,0.7786077841337328,1.7182570480062918,0.6510922665920438
2021-03-04,44,0.9593129874,0.0406870126,1.0,0.5,1.0,APPROVED,44,1.1539073228336962,0.9936827867679912,0.6702640727444537,1.3787782804990305,1.212421685114751,1.4432454042921945,0.3103964117878728,1.519488665795249,0.8121301683398424,1.1262971795891048,0.9281728635151189,1.2815162820343855,0.8405289144583798,0.518118045964751,1.5747646471624857,1.3643622475477335,0.7384315778938941,1.4582589848930922,0.6760581554344239,2.3818959684598977,0.8843833664882286,1.8634445203276264,0.7257037511122113
2021-03-05,45,0.9637459061,0.0362540939,1.0,0.5,1.0,APPROVED,45,1.1188383096948564,0.7508159622373554,0.7265813207698979,1.2869476065725571,0.861592986289638,1.4748535161790368,0.3142735738045461,1.6293494679987994,0.6675568943426682,0.9625453799632384,0.936102338511265,1.324754713038306,0.8399682897062155,0.5745031992791974,1.6168519612103096,1.5120860430961514,0.5193600048795963,1.5446725787363382,0.6865677113780678,2.318522972297824,0.8437535972312281,1.7728064850437335,0.7334054823988975
2021-03-08,46,0.6748202057,0.3251797943,1.0,0.5,1.0,APPROVED,46,1.035533477269224,0.7587585357780818,0.6464735449495356,1.2948557815499873,1.0870276047579877,1.5003756860504187,0.3192913303748526,1.5556282657806058,0.5626846348371497,0.8868467926574702,0.9366697048570304,1.4816716837628414,0.8744434869822494,0.5662705853552166,1.6351296021959636,1.5375156758298891,0.4425009051622616,1.581020520743757,0.6796661723266807,2.1759601274266336,0.9436210202489788,1.773538536460766,0.7333553467132704
2021-03-09,47,0.7304912412,0.2695087588,1.0,0.5,1.0,APPROVED,47,1.0259429646209963,0.7481152050989281,0.977907868947757,1.2820615595869864,0.9781394207989578,1.4955400328846278,0.3077091052929355,1.4157811160525802,0.5625100671715703,0.8591443810544056,1.032083422597076,1.094010308307256,0.8795407965130358,0.5764498246172983,1.6130298879954543,1.420143251542238,0.4443439277408178,1.5770557949999282,0.6865441526768488,2.0789772086533698,0.8632977959176253,1.7020810864454423,0.7369114152151006
2021-03-10,48,0.59457038,0.40542962,1.0,0.5,1.0,APPROVED,48,1.0660037172390409,0.7582086138598487,0.8921373225899016,1.2081118112044709,0.9716840780353042,1.5031404865945028,0.3004696597110443,1.3942191707538345,0.5571402766926756,0.8585399814855805,1.1009043422602176,1.1058360066509003,0.9243448189177244,0.5730965317008575,1.6141106158955625,1.2318026855834605,0.4578135509211335,1.5521926767408356,0.7239089810768146,2.0116584812240164,0.8804834211776829,1.6595108492971369,0.7378281113398713
2021-03-11,49,0.7406227715,0.2593772285,1.0,0.5,1.0,APPROVED,49,1.162260370982218,0.8013183691807191,1.099707101653783,1.2475708305509368,0.9679129655688864,1.5608007564794837,0.2993248488695269,1.3702136594495724,0.5692326351118911,0.8234957840983912,1.081588329251991,1.0819743537750477,0.871850516026655,0.5562226968811093,1.70729446452265,1.1400908811235049,0.549104633659942,1.416686716963748,0.6823732507885559,1.9467952138514668,0.7826952691210747,1.556136129781741,0.7741882030483206
2021-03-12,50,0.1815503997,0.8184496003,0.0,0.5,1.0,APPROVED,50,1.0754142008526488,0.7930261626866383,0.951009787687199,1.1126860757547052,0.9314790725549004,1.5780702221163907,1.171182104751573,1.3490186881698212,0.5788317246117554,0.8335935815736174,1.0964910921504432,1.0928324589701806,0.8571080107855045,0.5291789656719768,1.670648964220376,0.8525502743367563,0.5833822396402435,1.4010655502863962,0.6099831878257885,1.885831211342307,0.8917804985810813,1.4124345470642723,0.8534892346708547
2021-03-15,51,0.2423197681,0.7576802319,0.0,0.5,1.0,APPROVED,51,1.07146382593562,0.813079293192444,1.0539868569124349,1.0886545193856618,0.91199543289453,1.0394459333688473,1.2273806357338617,1.2859553622675328,0.5800624524507387,0.7631873991779902,1.1092504268512002,1.0718167858248555,0.8790623602932707,0.5253143729215632,1.5992799167584282,0.7315669901004874,0.7641550341876465,1.3541864025094077,0.5560499171322028,1.7903990193586363,0.875600623257085,1.272680828379163,0.9293873184866046
