Date,RAY,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,EEM,VIX,label
1/2/14,-0.864710488,-0.693069566,-0.018585586,-0.427665091,-0.329583807,1.842653079,1.553184744,-0.012220498,-0.990743019,-2.791413666,-0.48761497,1
1/3/14,-0.014337957,-0.642652192,0.028700462,-0.211993228,-0.579778535,1.051513911,0.373480649,0.414912878,-1.166106304,-0.135096518,-0.552335605,1
1/6/14,-0.339161978,-0.358482287,0.009612549,-0.067935873,0.091565511,-0.062679013,0.075297463,0.376068388,0.581517934,-0.695188112,-0.581253335,1
1/7/14,0.556722626,0.686241633,0.009580031,0.051928595,-0.006544915,-0.677333278,-0.85158909,0.325743879,-0.174076637,0.301067947,-0.668006525,1
1/8/14,-0.038155069,0.115009953,0.057512069,-0.194449183,-0.376687836,-0.340705127,-0.94671369,-0.409111433,-0.558692191,-0.244914318,-0.674891699,1
1/9/14,-0.009193555,-0.328502164,-0.009249717,-0.091528975,-0.958492448,0.295027696,0.124348551,-0.024426253,0.467820926,-0.391403465,-0.672137629,1
1/10/14,0.231441829,0.198575649,-0.076461906,0.183272813,0.935782413,1.373204399,1.60849717,1.050728057,0.894151885,1.272903609,-0.775415237,0
1/13/14,-1.206114869,-1.251825196,-0.000655818,-0.130451209,0.102907087,0.313170508,0.672366065,-0.548808529,0.025029298,-0.87256272,-0.618433273,1
1/14/14,0.977453983,1.476131783,0.049045689,0.140071887,-0.236050702,-0.459873276,-0.418250702,0.551459408,0.124296649,0.774142406,-0.75613675,1
1/15/14,0.431531029,0.601337925,0.038866606,0.263577013,0.475837881,-0.571570409,-0.155557143,0.571102425,-1.037947877,-0.026909601,-0.75613675,1
1/16/14,-0.133637276,-0.051656916,-0.02003658,-0.018137218,-0.344178918,0.134259044,-0.249568902,0.117428571,0.224596965,-0.405332909,-0.721710881,1
1/17/14,-0.397866763,-0.516782931,-0.010659148,0.078133911,0.037222788,0.904889014,0.557161138,-0.484625989,-1.113662613,-0.37127571,-0.734104194,1
1/21/14,0.242926563,0.553745096,0.039220125,0.110347947,0.135615057,-0.802454766,-1.143425025,0.687732397,0.297193952,-0.11815505,-0.674891699,1
1/22/14,0.078417835,0.148581495,0.039077208,0.281875271,-0.312141699,-0.266807419,-0.26416167,0.316700823,-0.189300144,0.957701473,-0.679022803,0
1/23/14,-0.827091116,-0.333148253,-0.06004401,0.103479275,-1.135420795,1.851206508,0.679249629,-0.211823054,2.143186555,-1.790653042,-0.55095857,0
1/24/14,-2.003029224,-1.645881535,-0.021603653,-0.087596681,-0.318234102,0.139141357,-0.259991912,-1.010604709,-0.243948565,-1.909376473,0.050805623,0
1/27/14,-0.60438491,-0.841350742,0.039812889,-0.124574704,-0.286029758,-0.084866325,-0.703495046,-0.630765736,-0.060022642,-0.29311823,-0.04834088,1
1/28/14,0.592033065,-0.107695056,0.008879649,0.272208758,-0.141212186,-0.988327572,-0.319880702,0.634539766,-0.017511186,0.44765527,-0.271420512,0
1/29/14,-1.001755246,-0.924553812,-0.052947994,0.006928134,-0.287619204,0.873692011,0.481462796,-0.452172449,-0.102602524,-1.048602134,-0.057980123,1
1/30/14,1.041655958,1.429241673,0.071992003,0.144893694,-0.32256245,-1.56118441,-1.678686233,1.170242556,-1.521619122,0.662370246,-0.066242332,1
1/31/14,-0.614273434,-0.275099287,-0.032732773,-0.095569889,-0.675328366,-0.180340759,0.081187806,0.399231568,-0.976029379,0.105123479,0.087985562,0
2/3/14,-2.250776078,-1.910723315,-0.075992915,-0.144330157,-0.315422436,1.581486128,0.426200694,-1.276897726,0.571500726,-2.05798686,0.505227096,1
2/4/14,0.682452336,0.532105125,0.041024177,0.129496558,0.188758233,-0.688789252,0.444944174,0.927125199,-0.075158629,1.455499465,0.184377995,1
2/5/14,-0.272442262,-0.269619798,0.073425965,0.042966145,-0.08674971,0.421021426,1.119073689,-0.188960924,0.211616074,-0.276832525,0.300048916,1
2/6/14,1.058815745,0.967108331,0.051092449,0.083393159,0.922557895,0.00785421,0.213170962,0.552650025,0.827418127,1.508655555,-0.074504541,1
2/7/14,1.130199811,1.377058468,-0.012451593,0.318853897,0.152026597,0.426730939,0.145150675,0.571837558,0.652804552,0.405045177,-0.341649285,1
2/10/14,0.117441154,0.400868136,0.019140246,0.040735571,-0.266491729,0.87261655,0.137272861,0.718207041,0.167252107,-0.81336158,-0.34578039,1
2/11/14,0.926260781,0.857256389,0.093695385,-0.003087786,-0.222049441,1.155397426,0.442269872,0.285947135,-0.102810368,1.56134874,-0.449057997,1
2/12/14,0.005277334,0.09353031,0.071013266,0.077243595,0.926275519,0.377783955,0.006503114,0.021374592,-0.628851008,0.009623163,-0.477975727,1
2/13/14,0.568076351,0.537156757,-0.031789628,0.011513235,-0.141336266,0.368674114,0.686967558,0.273106309,1.265953532,0.065156139,-0.500008283,1
2/14/14,0.341730089,0.101094276,0.050264058,0.007147703,0.319802227,1.379906811,2.734978536,0.283387632,0.180897054,0.878801978,-0.578499265,1
2/18/14,0.199599383,0.334116802,-0.052683935,0.324488669,0.463996434,0.406148508,1.09778243,0.361682993,0.945302381,-0.684878311,-0.537188222,0
2/19/14,-0.665572923,-0.614507935,0.02967086,0.139861177,-0.006544915,-0.317353145,-1.028877118,-0.069629382,-0.355505885,-0.506825234,-0.312731555,1
2/20/14,0.569973241,0.316924039,0.061104937,-0.040695928,-0.151257751,-0.273968394,0.75139438,-0.194035282,-0.186793385,0.251078886,-0.410501024,1
2/21/14,-0.165530468,-0.168189604,-0.011868717,-0.087720295,0.261146844,0.488229836,-0.079396829,0.168211945,0.392399753,0.490689948,-0.425648406,1
