,Unnamed: 0,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,T10Y3M_feature0,T10Y3M_feature1,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1,label,Date
0,0,0.6676745584195743,0.9855394720777644,0.6850347399199801,1.3255584006533028,2.01502715073594,1.3242424457821504,1.4486154086312577,0.9056736350777468,0.6921212588866185,1.370932614231156,0.7958897232596532,0.897939230381546,0.630192612954091,1.1750337026086557,0.9177046701536326,1.1927341792798265,1.88853832197632,0.8252655175691038,0.5987562988009142,2.6629272704642126,0.9215503197562832,2.074728142686997,0.0,2006-12-12
1,1,0.6632146066383509,0.9440197984178452,0.5959416905543518,1.234338046020268,1.846475596604077,1.1749124790401002,1.3938597348153594,0.9148985220755448,0.9619462112805266,1.1830100607817224,0.828564138564303,0.8583482913120594,0.6496070004263357,1.135811353512058,0.9230316892136944,1.0414879089093312,1.8159601456684948,0.7852482691397437,0.5958809291567868,2.6722153340790813,0.956634172581398,2.168932387638249,0.0,2006-12-13
2,2,0.6854478441760208,1.036469582943332,0.5244909437645324,1.1865775759435233,1.7587391969338988,1.188333073931687,1.459278230353092,0.9126477517220222,0.9278620847456462,1.0439423393056133,0.7865910474165412,0.901594168639562,0.7015044060798855,1.1193808119914024,0.9969459470095808,0.9392166649882324,1.740062145087364,0.7730136805260882,0.597462721546369,2.660270536758597,0.9450261051296366,2.0844883904099505,0.0,2006-12-14
3,3,0.6880992781209159,1.090667558130885,0.522905394659146,1.1774214939469048,1.5961355962998,1.0885420596149735,1.5506799235935005,0.9879648638077448,1.0865777665747285,0.9760435303970674,0.6708960054898317,0.9565191489754236,0.9566598116553724,0.9774287908220944,1.455923958576465,0.8605164126807295,1.9415144363073964,0.7717835804646132,0.5985193575585381,2.6737035569730585,0.8997563042467487,1.9598300485297893,0.0,2006-12-15
4,4,0.7123063070396294,0.8827011258496446,0.6683152388168377,1.201467744501021,1.4798720783027108,1.0507481365707505,1.5081285981215966,0.9697815925267976,1.2105171934109638,0.7040008719935418,0.6516973636536854,1.0593641007253534,1.4868129625303157,0.7534516617763551,1.5910511841771244,0.9366205202442056,1.991587548342972,0.7732479329399151,0.591750188311389,2.6305232760639323,0.9034774523328852,1.9085917170170168,0.0,2006-12-18
5,5,0.7138919839120578,0.915585884321186,0.7741323028390679,1.1217283094113737,1.3674046207534405,0.92983148180433,1.5454074828658682,1.1199441205514689,1.2369950472600528,0.7234822831997568,0.7013943569132277,0.7551592400837002,1.5154558443771908,0.5848428345539965,1.422531319956729,0.848211233927343,2.008328140969005,0.7702723857004862,0.5905168976076643,2.5989203302890647,0.9024875012994874,1.88628851913122,0.0,2006-12-19
6,6,0.7195119890090953,0.8797422255530202,1.0122561431243595,1.078191344248732,1.2580938438894194,0.763431563895807,1.6599847249542965,1.11275926476839,1.3591611335211742,0.7400299164774913,0.7173778952402065,0.7833445287273297,1.6067088611364666,0.5776931397970511,1.313430097677622,0.7814311577172535,2.000659244870973,0.7557785766767796,0.5875375710228353,2.570652805258621,0.9082699074037042,1.844257878864525,0.0,2006-12-20
7,7,0.7929108727881282,0.6945772178065351,1.122116402695153,1.0204791740666754,2.186711201432652,0.8233399186106093,1.5908188249132322,1.0631807118216725,1.553009232077844,0.6902977977435713,0.7085263206820762,0.8174146128731188,1.9519502785728096,0.5667931608306994,1.3039054142173825,0.7458270936175919,2.006153809959972,0.758690800642228,0.5874800637792157,2.5563992031691227,0.9292879226756784,1.7903843963175414,0.0,2006-12-21
8,8,1.1509912316605595,0.6612506799874732,1.1922534086955725,0.840895068897974,2.0027217965294226,0.9141067861302148,1.8758375123234583,0.9627513970579364,1.6788415227829545,0.6908979504570106,0.696291961933147,1.0124712924364156,1.94728750842648,0.5183074399222353,0.977743736821666,0.5046912356345303,1.9633312191311,0.739460704845501,0.5843937809871548,2.533741890302583,1.0151275299450444,1.7456022258065318,0.0,2006-12-22
9,9,1.190682410187134,0.6001506720749916,0.9195952460822936,0.906350670059332,2.7375765943646546,1.194539983795449,1.9467316568388653,0.954116504919408,1.606521647108977,0.5759113921019261,0.673036413424352,0.7896866414533342,1.9316187091812167,0.5171448542745235,1.220914688404928,0.5285412532283101,2.031158060540704,0.7430756689660452,0.5802225784001299,2.484496532994614,1.058443822216823,1.6163952187764137,0.0,2006-12-25
10,10,0.8044557437637982,0.6381460244001104,0.6922862678957511,1.012082868950703,2.694675078578549,0.9943982381227806,1.6805552011097544,0.9389233178809968,1.5505165441186464,0.5023852317987922,0.699340444421147,0.6646749641407281,1.893822771200934,0.4884372905371336,1.6662337504918254,0.5699719709688617,2.138182742775247,0.7437372049060744,0.6081880322082147,2.636905493304562,1.067845758469666,1.5227299020729623,0.0,2006-12-26
11,11,0.7644933456605708,0.7063323240051491,0.6433217484138932,0.8665416638522153,2.5817402255984656,1.005600188928401,1.606986938824346,0.9585010406427932,1.4744339634602934,0.4437807240258556,0.7413959971632468,0.9901338669627924,1.8988987647026776,0.4921772809022692,1.7857449308585014,0.627384974526779,2.289988552947738,0.745133921789032,0.6956303250398871,2.6444347902197607,0.9885554482954,1.4429274010040245,0.0,2006-12-27
