Date,Unnamed: 0,label_1.0_PREDICTION,label_0.0_PREDICTION,label_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Unnamed: 0.1,RAY_feature0,RAY_feature1,QQQ_feature0,QQQ_feature1,T10Y3M_feature0,T10Y3M_feature1,CL1_feature0,CL1_feature1,HG1_feature0,HG1_feature1,GC1_feature0,GC1_feature1,XAG_feature0,XAG_feature1,VNQ_feature0,VNQ_feature1,EURtoUSD_feature0,EURtoUSD_feature1,EEM_feature0,EEM_feature1,VIX_feature0,VIX_feature1
2019-01-01,0,0.9663892984,0.0336107016,1.0,0.5,1.0,APPROVED,0,0.6670856043208133,1.2501600638894652,0.6539099469107764,1.046113410017238,1.061654961629731,1.2937389596238729,0.7141093199225096,2.3775555154476984,1.513941595345138,0.8150912725619155,1.042878604644451,0.6980872398376201,0.6490700390858707,1.8756188303232888,1.6888039738584886,0.5085298583723403,1.0018189806852245,1.6814334639699835,1.291439400891736,1.367783383864342,1.2146185058880647,0.6381649278108407
2019-01-02,1,0.9929983616,0.0070016384,1.0,0.5,1.0,APPROVED,1,0.6638185752033852,1.2414031438488402,0.655925970995171,0.9610210631215876,0.8616765718707754,1.1773188917210735,0.6620528590342162,2.2670298174094667,1.465977558078147,0.784498964446804,1.060746530804686,0.7045534889584644,0.6328874059807378,1.8792666908153048,1.8925293376135528,0.6032189306143534,0.7966332695259625,1.634835329007044,1.2852720083837204,1.310422604705768,1.0950431086627617,0.5857941770615204
2019-01-03,2,0.9854211211,0.0145788789,1.0,0.5,1.0,APPROVED,2,0.7675686986086809,0.8311660019369075,0.8273301169860577,0.7130747535440836,0.9059880827141176,1.152152753667223,0.6906723891106359,2.23042244520025,1.605148584266581,0.6901971224143932,1.0135746254979596,0.7583268467960776,0.637906811850723,1.7821252812448596,1.910360667762384,0.6059553375720842,0.9381199807988614,1.6563733166113994,1.4383297379495834,1.2268596250913215,1.342841390317672,0.5887188453314842
2019-01-04,3,0.9279075265,0.0720924735,1.0,0.5,1.0,APPROVED,3,0.7051603348587379,0.9611262328022566,0.7221179262847596,1.0092737081337948,0.9070418655885272,1.1924433228058142,0.7039048205221687,2.147910250491897,1.381220857754361,0.4685681403704017,0.9089674540673304,0.8043662878208206,0.572059207797358,1.7888609344267716,1.88423922740966,0.620080467336395,0.956168591881396,1.5337923414545784,1.2817217536900771,1.2431182742059783,1.295210802953796,0.5274624369553748
2019-01-07,4,0.9677925706,0.0322074294,1.0,0.5,1.0,APPROVED,4,0.7159755077220253,1.099994330994393,0.7745267324601538,1.1232765899750423,0.925562118854062,1.1668250420385469,0.6820416793432676,2.0816881476508984,1.3955165727036043,0.583345811523871,1.011246162692879,0.7675835677111744,0.4958673051355886,1.695051814439802,1.5980508862597338,0.6430205267641681,1.1419136178128375,1.457540766313505,1.3166618453778227,1.2391643122844251,1.3284666030205377,0.5520876378491427
2019-01-08,5,0.5571245551,0.4428754449,1.0,0.5,1.0,APPROVED,5,0.7308084837352901,1.2392431844276708,0.8634400345842073,1.1957889160142154,0.9195421676915014,1.169058192392701,0.7122725313375573,1.7883169942300654,1.3040335232969538,0.6413994572296571,0.8898317183613152,0.8284988905018118,0.4423085828789707,1.5914649841740052,1.2962858245731903,0.9305600742128676,1.389062683077551,1.4735658165395729,1.2292021485702105,1.3462291451586264,1.285691794039,0.5560589738006865
2019-01-09,6,0.2284270972,0.7715729028,0.0,0.5,1.0,APPROVED,6,0.7541276216530909,1.2959817321276812,0.9078915521423642,1.1303430477222185,0.9167127786365574,1.1622902740305978,0.7551700135614291,1.3683028793586067,1.2700366646787415,0.7550601712983458,1.0349585966826982,0.7672739737927995,0.5047138049126668,1.6473438460727476,1.167276545057737,0.97215168440287,1.185016810725495,1.1351318160166786,1.126263008093381,1.4809793304751404,1.208479337250464,0.5482300457663173
2019-01-10,7,0.2175961882,0.7824038118,0.0,0.5,1.0,APPROVED,7,0.7988819696606243,1.2620733928011878,1.009990051720917,1.0138102740464805,0.9005084296991441,1.2136037158933766,0.8290236784807486,1.359682860471396,1.1565848651332682,0.7751806636171256,1.0361112963452477,0.8334397083168466,0.5026656984286718,1.4171214756940411,0.9449808798670766,1.0065631501802716,1.197277198355288,1.065128590789822,1.1492686540364874,1.448842099481699,1.19429106441174,0.547801597590572
2019-01-11,8,0.1807523072,0.8192476928,0.0,0.5,1.0,APPROVED,8,0.8794109053050286,1.1804040577541022,1.0498386896319367,0.9313083276180516,0.8854169592234655,1.1941260693197966,0.8344877856156369,1.3062091603050885,1.0603293587400189,0.91552919291357,0.9133881092582018,0.8585812894701067,0.4938123156185958,1.386461519500013,0.7210174471633156,1.0033772540996866,1.210056078694459,0.9398087869422772,1.1806063928394617,1.4158483779869402,1.1785929622408204,0.5527218268763786
2019-01-14,9,0.045577459,0.954422541,0.0,0.5,1.0,APPROVED,9,0.8319421401557847,1.0201406722103197,0.9762832548530976,0.8017160594923065,0.8650534764272548,1.16601109073596,0.7941909717376401,1.281629190869805,0.9180038481799704,0.9115683365041266,0.9884478389417792,0.8304316341032987,0.5269833705486614,1.3638670173278258,0.6631855446631377,1.012779392957299,1.2176782359414398,0.8980877507923053,1.132165342070168,1.4603174430329051,1.1453596783595597,0.5828249829195993
